code,purpose,,,,,,,
1,Commute,,,,,,,
2,Go_School,,,,,,,
3,Back_Home,,,,,,,
4,Commute,,,,,,,
5,Shopping_Daily,,,,,,,
6,Shopping_Nondaily,,,,,,,
7,Private_Movement,,,,,,,
8,Private_Movement,,,,,,,
9,Go_Eat,,,,,,,
10,Go_Eat,,,,,,,
11,Go_Eat,,,,,,,
12,Private_Movement,,,,,,,
13,Go_Sightseeing,,,,,,,
14,Volunteering,,,,,,,
15,Pickup&Drop_Off ,,,,,,,
16,Go_Other_Business,,,,,,,
17,Attend_Meeting,,,,,,,
18,Delivering,,,,,,,
19,Go_Occupation,,,,,,,
20,Go_Agricultural_Work,,,,,,,
21,Go_Other_Business,,,,,,,