code,purpose,activity
1,Commute,Office
2,Go_School,School
3,Back_Home,House
4,Shopping_Daily,Store_Daily
5,Shopping_Nondaily,Store_Nondaily
6,Go_Eat,Socializing
62,Go_Recreational_Facility,Socializing
7,Pickup&Drop_Off,Welcoming
9,Go_Sightseeing,Tourist_Spot
10,Private_Movement,Private_Space
11,Delivering,Business_Place
12,Attend_Meeting,Business_Place
13,Go_Occupation,Business_Place
14,Go_Agricultural_Work,Natural_Area
15,Go_Other_Business,Business_Place
16,Go_Exercise,Pitch
17,Volunteering,Public_Space